"clade_name","clade_taxid","TS8S","TS8","TS7S","TS7","TS5S","TS5","TS55S","TS55","TS54S","TS54","TS53S","TS53","TS52S","TS52","TS51S","TS51","TS50S","TS50","TS4S","TS4","TS42S","TS42","TS41S","TS41","TS40S","TS40","TS3S","TS3","TS38S","TS38","TS35S","TS35","TS32S","TS32","TS31S","TS31","TS30S","TS30","TS29S","TS29","TS28S","TS28","TS27S","TS27","TS26S","TS26","TS24S","TS24","TS22S","TS22","TS20S","TS20","TS18S","TS18","TS17S","TS17","TS16S","TS16","TS14S","TS14","TS13S","TS13","TS12S","TS12","TS11S","TS11"
"s__Ruminococcus_callidus","2|1239|186801|186802|541000|1263|40519",0,0,0,0,0,831,0,0,8303,1951,0,0,0,0,623,259,51,0,0,0,5722,0,263,0,4059,0,5114,0,0,0,0,0,3130,0,0,0,0,0,0,0,0,5451,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,1230,3173,1053,734,0,0,0
"s__Ruminococcus_champanellensis","2|1239|186801|186802|541000|1263|1161942",9539,0,0,0,12477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0
"s__Ruminococcus_lactaris","2|1239|186801|186802|541000|1263|46228",26931,0,32928,0,0,0,1452,352,1434,0,359,29785,0,2438,0,0,0,108837,0,0,202772,258,2069,0,0,313207,0,114358,0,57936,325,0,7706,14823,24136,0,41575,29477,0,188,204772,39918,1005,2945,11765,542,0,130838,50152,0,26,3050,8144,0,2567,15860,0,0,2505,8564,0,28474,0,118037,19547,191062
"s__Ruminococcus_obeum_CAG_39","2|1239|186801|186802|541000|1263|1263107",0,0,0,0,0,0,848,0,0,0,0,0,0,0,0,0,0,0,16962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Ruminococcus_sp_CAG_330","2|1239|186801|186802|541000|1263|1262954",0,0,0,0,10556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3232,35689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Ruminococcus_sp_CAG_403","2|1239|186801|186802|541000|1263|1262958",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0
"s__Ruthenibacterium_lactatiformans","2|1239|186801|186802|541000|1905344|1550024",2330,0,1775,5520,1779,78551,4031,14281,2570,3084,4796,3030,0,2998,20846,7620,44180,94595,0,0,6348,53120,6562,5641,29393,4672,15974,6214,4836,1083,77294,19333,3309,11726,1115,19462,1744,15053,14721,3668,22426,35473,2586,2389,4435,20029,7109,49034,6425,24377,25191,4048,0,15628,11261,3167,4734,21174,26509,5822,4598,22798,79118,23881,7203,8285
"s__Absiella_dolichum","2|1239|526524|526525|128827|2057233|31971",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3007,0,0
"s__Candidatus_Stoquefichus_sp_KLE1796","2|1239|526524|526525|128827|1470349|1574263",0,0,0,0,0,0,0,1580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s__Catenibacterium_mitsuokai","2|1239|526524|526525|128827|135858|100886",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
