"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Comparison"
"50","s__Intestinimonas_butyriciproducens",358.780941843536,1.67039452828365,2.63069732337931,0.634962644101492,0.52545277880814,0.999950191174171,"StatusTS"
"51","s__Lawsonibacter_asaccharolyticus",157.767459465089,0.061091879958437,2.31416111996445,0.0263991471602355,0.97893897438157,0.999950191174171,"StatusTS"
"52","s__Monoglobus_pectinilyticus",7753.98641224736,0.135735575850061,1.07964279597908,0.125722670827409,0.899951455532237,0.999950191174171,"StatusTS"
"53","s__Eubacterium_eligens",3911.74820886039,-2.62632397123008,1.26389689243845,-2.07795745597813,0.0377132778078149,0.434705042130526,"StatusTS"
"54","s__Eubacterium_hallii",94454.6988978108,0.563241307887965,0.290799911716665,1.93686890949523,0.0527613697938159,0.517595726841198,"StatusTS"
"55","s__Eubacterium_ramulus",5196.13892357652,0.667278907304746,0.924473430247685,0.721793493974152,0.470421450055274,0.999950191174171,"StatusTS"
"56","s__Eubacterium_sp_CAG_180",5575.39069711856,0.91587708354111,2.49490211889201,0.367099405065179,0.713544871051358,0.999950191174171,"StatusTS"
"57","s__Eubacterium_sp_CAG_251",208.521966255089,-1.54145029000076,2.88556345910079,-0.534193862602181,0.5932074149231,0.999950191174171,"StatusTS"
"58","s__Eubacterium_sp_CAG_274",474.556181075365,0.658018862952795,2.01227395725401,0.327002623365827,0.743665901041177,0.999950191174171,"StatusTS"
"59","s__Eubacterium_sp_CAG_38",789.08787926492,-2.9768588529642,1.64164731327926,-1.81333641451756,0.0697799501439482,0.613066704836117,"StatusTS"
"60","s__Eubacterium_ventriosum",5379.54857933357,-0.773368258086072,1.361840224145,-0.567884722726274,0.570113246179844,0.999950191174171,"StatusTS"
"61","s__Anaerostipes_hadrus",197474.28840939,0.312960125518781,0.341731782251898,0.91580631879329,0.359768488744649,0.999950191174171,"StatusTS"
"62","s__Blautia_hydrogenotrophica",2653.49931971769,0.904246039606193,1.92479822802362,0.469787443920639,0.638506885978929,0.999950191174171,"StatusTS"
"63","s__Blautia_obeum",97725.9687052004,0.470326659798228,0.481122658805353,0.977560817788272,0.328291584296579,0.999950191174171,"StatusTS"
"64","s__Blautia_sp_CAG_257",597.875736569733,0.851727632392974,2.15057320989551,0.396046797418424,0.692070505441513,0.999950191174171,"StatusTS"
"65","s__Blautia_wexlerae",58072.9638270488,0.829215811775692,0.401460797725596,2.06549634851887,0.0388760606783397,0.434705042130526,"StatusTS"
"66","s__Ruminococcus_gnavus",15855.9579389701,1.64791593238401,0.857748992714312,1.92120998844807,0.0547052394222405,0.517595726841198,"StatusTS"
"67","s__Ruminococcus_torques",118513.52372792,0.349643059618543,0.412442879817947,0.847736927287667,0.396584496110874,0.999950191174171,"StatusTS"
"68","s__Coprococcus_catus",13663.7856916382,-0.696520040517841,0.725539335813278,-0.960003139922237,0.337053634648732,0.999950191174171,"StatusTS"
"69","s__Coprococcus_comes",97677.9130611492,0.020478986585384,0.409538586115754,0.0500050234084552,0.960118385230704,0.999950191174171,"StatusTS"
"70","s__Coprococcus_eutactus",35398.9552500203,-0.0353892236506338,1.18917450031922,-0.0297594874773501,0.976258868754312,0.999950191174171,"StatusTS"
"71","s__Dorea_formicigenerans",42238.7707088626,2.5608998524263e-05,0.410228994295341,6.24261056151142e-05,0.999950191174171,0.999950191174171,"StatusTS"
"72","s__Dorea_longicatena",136969.638971891,0.192578387621356,0.325022256297745,0.592508309476935,0.553510258094001,0.999950191174171,"StatusTS"
"73","s__Eisenbergiella_massiliensis",534.813100895085,29.2953601123498,2.78257319887882,10.5281543443866,6.40785255899552e-26,7.88165864756449e-24,"StatusTS"
"74","s__Eisenbergiella_tayi",1746.39455346387,-0.187148457728108,1.70198781340069,-0.109958753085413,0.912442086759811,0.999950191174171,"StatusTS"
"75","s__Fusicatenibacter_saccharivorans",396550.917114751,0.410259212819249,0.37479249011463,1.09463029180166,0.273678639114759,0.999950191174171,"StatusTS"
"76","s__Clostridium_bolteae",111.032649057463,3.28473962671868,2.84196375043802,1.15579926950596,0.247763271916235,0.999950191174171,"StatusTS"
