"","feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"61","s__Proteobacteria_bacterium_CAG_139","Status","TS",-27.2544184894312,29.0948827458022,0.352412420552259,"StatusTS",0.782304466509809,66,20
"62","s__Akkermansia_muciniphila","Status","TS",-144.353514873939,112.910333018754,0.205697469171781,"StatusTS",0.782304466509809,66,36
"63","s__Eisenbergiella_tayi","Status","TS",-10.8042544037895,12.8768707506994,0.404568029881641,"StatusTS",0.796292630243229,66,23
"64","s__Bifidobacterium_pseudocatenulatum","Status","TS",134.305167580952,178.047518345105,0.45342249049314,"StatusTS",0.829801310274396,66,48
"65","s__Gordonibacter_pamelaeae","Status","TS",-19.7818087028856,24.8833006631084,0.429561604187234,"StatusTS",0.829801310274396,66,58
"66","s__Bacteroides_thetaiotaomicron","Status","TS",-37.8352237588641,52.6663056732285,0.475128169592598,"StatusTS",0.829801310274396,66,30
"67","s__Eubacterium_hallii","Status","TS",191.665570295928,249.39260350276,0.444999398393668,"StatusTS",0.829801310274396,66,66
"68","s__Eubacterium_ramulus","Status","TS",20.3424962867729,27.9339073576785,0.469124909045803,"StatusTS",0.829801310274396,66,45
"69","s__Blautia_sp_CAG_257","Status","TS",93.9286307488744,123.149705901522,0.448433095959212,"StatusTS",0.829801310274396,66,16
"70","s__Dorea_formicigenerans","Status","TS",-99.7490776686685,137.864695579074,0.471991342614283,"StatusTS",0.829801310274396,66,65
"71","s__Roseburia_sp_CAG_182","Status","TS",43.0856290239729,59.6465030745169,0.472710836433362,"StatusTS",0.829801310274396,66,18
"72","s__Bacteroides_xylanisolvens","Status","TS",175.58263890318,250.893536822858,0.486570002547825,"StatusTS",0.837981671054588,66,39
"73","s__Clostridium_innocuum","Status","TS",-11.4943100485393,16.892805936172,0.498688765173903,"StatusTS",0.847087765500877,66,24
"74","s__Romboutsia_ilealis","Status","TS",-0.213682362671699,0.320681926911016,0.507590404603605,"StatusTS",0.850556894200636,66,13
"75","s__Alistipes_shahii","Status","TS",-16.7072373877926,25.8742138210337,0.520775686361365,"StatusTS",0.86101580145079,66,37
"76","s__Phascolarctobacterium_faecium","Status","TS",5.43240069590979,8.64293867709973,0.531889496905285,"StatusTS",0.867819705477043,66,19
"77","s__Adlercreutzia_equolifaciens","Status","TS",-12.6398856458838,20.4883828169231,0.539469894737223,"StatusTS",0.8687567136028,66,58
"78","s__Collinsella_stercoris","Status","TS",1.27136787596236,4.14711322058877,0.760168183629236,"StatusTS",0.905738146083669,66,26
"79","s__Bacteroides_caccae","Status","TS",76.7904409241437,158.70245425367,0.630133784677384,"StatusTS",0.905738146083669,66,45
"80","s__Bacteroides_cellulosilyticus","Status","TS",-25.6159032436447,60.4362308317779,0.673096328618585,"StatusTS",0.905738146083669,66,20
"81","s__Bacteroides_intestinalis","Status","TS",-36.3224093852619,68.0966084285729,0.595607589717718,"StatusTS",0.905738146083669,66,8
"82","s__Barnesiella_intestinihominis","Status","TS",-54.3392737577085,97.4185352795662,0.578932428485563,"StatusTS",0.905738146083669,66,28
"83","s__Coprobacter_sp","Status","TS",-5.49764162356035,9.65218356851192,0.570959900529913,"StatusTS",0.905738146083669,66,17
"84","s__Alistipes_finegoldii","Status","TS",15.5750521231359,53.4847535531894,0.771835891717564,"StatusTS",0.905738146083669,66,49
"85","s__Streptococcus_thermophilus","Status","TS",-16.2101643622129,41.9695550502108,0.700602767441171,"StatusTS",0.905738146083669,66,24
